full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,"* = confirmed, - = remove",trim
"Feigenbaum, Itai",Feigenbaum,Itai,,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Filatova, Elena",Filatova,Elena,https://scholar.google.com/citations?user=NeOqk2kAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Friedman, Linda",Friedman,Linda,https://scholar.google.com/citations?user=LUgrnWMAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Gennaro, Rosario",Gennaro,Rosario,https://scholar.google.com/citations?user=YAZHNDUAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Gertner, Izidor",Gertner,Izidor,https://scholar.google.com/citations?user=-3lkqowAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Gladkova, Irina",Gladkova,Irina,https://scholar.google.com/citations?user=gistCekAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Goswami, Mayank",Goswami,Mayank,https://scholar.google.com/citations?hl=en&user=f5iIqDgAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Grossberg, Michael",Grossberg,Michael,https://scholar.google.com/citations?user=O3lqKpcAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
"Gu, Feng",Gu,Feng,https://scholar.google.com/citations?user=RZ7Z6GMAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
Natacha Gueorguieva,Gueorguieva,Natacha,,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Gurvits, Leonid",Gurvits,Leonid,https://scholar.google.com/citations?user=aBofVRoAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Hadjiliadis, Olympia",Hadjiliadis,Olympia,https://scholar.google.com/citations?user=8hPyBHsAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Halevi, Tzipora ",Halevi,Tzipora,https://scholar.google.com/citations?hl=en&user=LgwWoI0AAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Hamkins, Joel David ",Hamkins,Joel David ,https://scholar.google.com/citations?user=MHLQDYQAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Haralick, Robert M ",Haralick,Robert M ,https://scholar.google.com/citations?user=HMnF6i0AAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Huo, Yumei",Huo,Yumei,https://scholar.google.com/citations?user=zpwr3EEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,Associate to Full,*,*
"Imberman, Susan",Imberman,Susan,https://scholar.google.com/citations?user=y3HkhBEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Jain, Shweta",Jain,Shweta,https://scholar.google.com/citations?user=Xuu5TGQAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
"Ji, Ping",Ji,Ping,https://scholar.google.com/citations?user=SjkjEtQAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Johnson, Matthew",Johnson,Matthew,https://scholar.google.com/citations?user=Ybf7jtwAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Kahrobaei, Delaram",Kahrobaei,Delaram,https://scholar.google.com/citations?user=ScTS9PkAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,Not listed,-,-
"Kawaguchi, Akira",Kawaguchi,Akira,https://scholar.google.com/citations?user=7cF0q3YAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Khatchadourian, Raffi",Khatchadourian,Raffi,https://scholar.google.com/citations?user=gr8cON0AAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Khodjaeva, Matluba",Khodjaeva,Matluba,https://scholar.google.com/citations?hl=en&user=-E8t9pwAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Kletenik, Devorah",Kletenik,Devorah,https://scholar.google.com/citations?user=cYTgpmEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Kong, T. Yung",Kong,T. Yung,https://scholar.google.com/citations?user=Hbb5UBgAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
Konstantinos (Ntino) Krampis,Konstantinos , Krampis,https://scholar.google.com/citations?user=GGsQkQ8AAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Kress, Michael E.",Kress,Michael E.,https://scholar.google.com/citations?user=VB2V-fAAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
Saul Kripke,Kripke,Saul,https://scholar.google.com/citations?user=MRCc_ugAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,Not listed,-,-
"Langsam, Yedidyah",Langsam,Yedidyah,https://scholar.google.com/citations?user=ahb9YKgAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Lee, Myung Jong",Lee,Myung Jong,https://scholar.google.com/citations?user=8JJp_KEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Levitan, Rivka",Levitan,Rivka,https://scholar.google.com/citations?user=BKeOMSkAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Levitan, Sarah Ita",Levitan,Sarah Ita,https://scholar.google.com/citations?hl=en&user=-U_XtWsAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Li, Jun",Li,Jun,https://scholar.google.com/citations?hl=en&user=My5KJhoAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Li, Xiangdong",Li,Xiangdong,https://scholar.google.com/citations?user=lhMd-CkAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Mandel, Michael",Mandel,Michael,https://scholar.google.com/citations?user=7-9jOvEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
"Manovich, Lev",Manovich,Lev,https://scholar.google.com/citations?user=QP5JHg_7o_cC&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Miller, Russell",Miller,Russell,https://scholar.google.com/citations?user=WxCwDn8AAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Mneimneh, Saad",Mneimneh,Saad,https://scholar.google.com/citations?user=8dRxlUsAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Mowshowitz, Abbe",Mowshowitz,Abbe,https://scholar.google.com/citations?user=KwmExSIAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Murphy, Brian",Murphy,Brian,https://scholar.google.com/citations?user=JmUXeu4AAAAJ,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
"Obaidat, Muath",Obaidat,Muath,https://scholar.google.com/citations?hl=en&user=XLYQ1ukAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
Alexey Ovchinnikov,Ovchinnikov,Alexey,https://scholar.google.com/citations?user=JmOotdkAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Oyekoya, Oyewole",Oyekoya,Oyewole,https://scholar.google.com/citations?user=qxBRsSQAAAAJ&hl=en&oi=ao,485,14,16,23,CUNY Graduate School and University Center  ,Associate,9,New,*,*
"Pan, Victor ",Pan,Victor ,https://scholar.google.com/citations?user=9-i5_74AAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Parikh, Rohit ",Parikh,Rohit ,https://scholar.google.com/citations?user=UrXap5MAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
Zheng Peng,Peng,Zheng,https://scholar.google.com/citations?hl=en&user=94KslHQAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Petingi, Louis",Petingi,Louis,https://scholar.google.com/citations?user=X7Gs5cgAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Rahman, Mahbubur",Rahman,Mahbubur,https://scholar.google.com/citations?hl=en&user=WVLaE1oAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Raja, Anita",Raja,Anita,https://scholar.google.com/citations?hl=en&user=rDo_DcgAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,New,*,*
"Raphan, Theodore ",Raphan,Theodore ,https://scholar.google.com/citations?user=oUle-6cAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Ravindran, Kaliappa",Ravindran,Kaliappa,https://scholar.google.com/citations?user=bPnTPDcAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Rozovskaya, Alla",Rozovskaya,Alla,https://scholar.google.com/citations?user=SL4bZHEAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Sakas, William",Sakas,William,https://scholar.google.com/citations?user=swe6S54AAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
Ashwin Satyanarayana,Satyanarayana,Ashwin ,https://scholar.google.com/citations?user=rdZZ8_sAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Associate,9,Assistant to Associate,*,*
"Shankar, Subash",Shankar,Subash,https://scholar.google.com/citations?user=_d9T9cEAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Skeith, William",Skeith,William,https://scholar.google.com/citations?user=G8KO84kAAAAJ,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Sokol, Dina",Sokol,Dina,https://scholar.google.com/citations?user=-2ePFEwAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"St. John, Katherine",St. John,Katherine,https://scholar.google.com/citations?user=k_K-PFkAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Stamos, Ioannis",Stamos,Ioannis,https://scholar.google.com/citations?user=ENLTjooAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Sy, Bon K.",Sy,Bon K.,https://scholar.google.com/citations?user=GLjNiI4AAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Tansel, Abdullah Uz",Tansel,Abdullah Uz,https://scholar.google.com/citations?user=emeq3i8AAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Tian, Ying-Li",Tian,Ying-Li,https://scholar.google.com/citations?user=aAWeB4wAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Tsai, Charlene",Tsai,Charlene,https://scholar.google.com/citations?hl=en&user=cVEiVxsAAAAJ,1660,14,19,37,CUNY Graduate School and University Center  ,Associate,9,New,*,*
"Uyar, M. Umit",Uyar,M. Umit,https://scholar.google.com/citations?user=tF0lurkAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Vazquez-Abad, Felisa",Vazquez-Abad,Felisa,https://scholar.google.com/citations?user=KbF8FhwAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Vejdemo-Johansson, Mikael ",Vejdemo-Johansson,"Johansson, Mikael",https://scholar.google.com/citations?hl=en&user=XJN1TGIAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Vo, Huy T. ",Vo,Huy T.,https://scholar.google.com/citations?user=HNwwWQgAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,,*,*
"Wei, Jie",Wei,Jie,https://scholar.google.com/citations?user=6Lc5BkYAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Whitlock, Paula",Whitlock,Paula,https://scholar.google.com/citations?user=oQc2QAEAAAAJ,,,,,CUNY Graduate School and University Center  ,Full,9,Not listed,-,-
"Wolberg, George",Wolberg,George,https://scholar.google.com/citations?user=KyXgRdQAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Xiang, Zhigang",Xiang,Zhigang,https://scholar.google.com/citations?user=OFOR6ekAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Xiao, Jizhong",Xiao,Jizhong,https://scholar.google.com/citations?user=hUo4KuQAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Xie, Lei",Xie,Lei,https://scholar.google.com/citations?user=CujCxdYAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,Associate to Full,*,*
Jia Xu,Xu,Jia,https://scholar.google.com/citations?user=myyblq4AAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Assistant,9,Not listed,-,-
"Yanofsky, Noson",Yanofsky,Noson,https://scholar.google.com/citations?user=UOzjMYkAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Full,9,Assistant to Full,*,*
"Yuan, Changhe",Yuan,Changhe,https://scholar.google.com/citations?user=dVia5U4AAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
Bo Yuan,Yuan,Bo,https://scholar.google.com/citations?user=oUy9elEAAAAJ&hl=en,,,,,CUNY Graduate School and University Center  ,Assistant,9,Not listed,-,-
"Zelikovitz, Sarah",Zelikovitz,Sarah,https://scholar.google.com/citations?user=JJvTMLsAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Zhang, Danyang",Zhang,Danyang,https://scholar.google.com/citations?user=C1UHB_MAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Zhang, Jianting",Zhang,Jianting,https://scholar.google.com/citations?user=UKjJKUIAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Zhang, Shuqun",Zhang,Shuqun,https://scholar.google.com/citations?user=7uGzJW8AAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Zhang, Xiaowen",Zhang,Xiaowen,https://scholar.google.com/citations?user=vX1p5wIAAAAJ,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Zhang, Zhanyang",Zhang,Zhanyang,https://scholar.google.com/citations?user=JArOMTUAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Associate,9,,*,*
"Zhao, Liang",Zhao,Liang,https://scholar.google.com/citations?hl=en&user=1ydix6IAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Zheng, Peng",Zheng,Peng,https://scholar.google.com/citations?user=94KslHQAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Assistant,9,Not listed,-,-
"Zhong, Mingxian",Zhong,Mingxian,https://scholar.google.com/citations?hl=en&user=G1Dk7mEAAAAJ,,,,,CUNY Graduate School and University Center  ,Assistant,9,New,*,*
"Zhou, Neng Fa",Zhou,Neng Fa,https://scholar.google.com/citations?user=17iCYjYAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
"Zhu, Zhigang",Zhu,Zhigang,https://scholar.google.com/citations?user=2m-u_KoAAAAJ&hl=en&oi=ao,,,,,CUNY Graduate School and University Center  ,Full,9,,*,*
Chris Bailey-Kellogg,Bailey-Kellogg,Chris,https://scholar.google.com/citations?user=-cwEbxUAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Full,20,,*,*
Devin J. Balkcom,Balkcom,Devin,https://scholar.google.com/citations?user=w1OP2yAAAAAJ&hl=en,,,,,Dartmouth College  ,Full,20,Associate to Full,*,*
Andrew Thomas Campbell,Campbell,Andrew,https://scholar.google.com/citations?user=rthco5oAAAAJ&hl=en,,,,,Dartmouth College  ,Full,20,,*,*
Michael Casey,Casey,Michael,https://scholar.google.com/citations?user=2dTrwzAAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Full,20,,*,*
Amit Chakrabarti,Chakrabarti,Amit,https://scholar.google.com/citations?user=LjP106QAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Full,20,,*,*
Deeparnab Chakrabarty,Chakrabarty,Deeparnab,https://scholar.google.com/citations?user=JB1j474AAAAJ&hl=en,,,,,Dartmouth College  ,Assistant,20,,*,*
Hsien-Chih Chang,Chang,Hsien-Chih,https://scholar.google.com/citations?hl=en&user=BI3CNzAAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
Thomas H. Cormen,Cormen,Thomas,https://scholar.google.com/citations?user=V5FJ6pIAAAAJ&hl=en,,,,,Dartmouth College  ,Full,20,,*,*
Robert Lewis (Scot) Drysdale III,Drysdale,Robert,https://scholar.google.com/citations?user=mn1QyYgAAAAJ&hl=en,,,,,Dartmouth College  ,Full,20,Retired,-,-
Hany Farid,Farid,Hany,https://scholar.google.com/citations?user=VEdybxgAAAAJ,,,,,Dartmouth College  ,Full,20,Not listed,-,-
Gevorg Grigoryan,Grigoryan,Gevorg,https://scholar.google.com/citations?user=hJuusUEAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Associate,20,,*,*
Wojciech Jarosz,Jarosz,Wojciech,https://scholar.google.com/citations?user=vrjL9p0AAAAJ&hl=en,,,,,Dartmouth College  ,Associate,20,Assistant to Associate,*,*
Prasad Jayanti,Jayanti,Prasad,https://scholar.google.com/citations?user=TH512IgAAAAJ&hl=en,,,,,Dartmouth College  ,Full,20,,*,*
David Kotz,Kotz,David,https://scholar.google.com/citations?user=w_Q7iBoAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Full,20,,*,*
Shagufta Mehnaz,Mehnaz,Shagufta,https://scholar.google.com/citations?hl=en&user=xG6n34gAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
Sarah Masud Preum,Preum,Sarah Masud,https://scholar.google.com/citations?hl=en&user=TyO23NgAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
Temiloluwa O. Prioleau,Prioleau,Temiloluwa O.,,,,,,Dartmouth College  ,Assistant,20,New,*,*
Alberto Quattrini Li,Li,Alberto Quattrini,https://scholar.google.com/citations?hl=en&user=06ldpDMAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
Daniel Rockmore,Rockmore,Daniel,,,,,,Dartmouth College  ,Full,20,,*,*
Venkatramanan S. Subrahmanian,S. Subrahmanian,Venkatramana,https://scholar.google.com/citations?hl=en&user=PLt9wB8AAAAJ&view_op=list_works,,,,,Dartmouth College  ,Full,20,,*,*
Sean W. Smith,Smith,Sean,https://scholar.google.com/citations?user=eCv3gnMAAAAJ&hl=en&oi=sra,,,,,Dartmouth College  ,Full,20,,*,*
Lorenzo Torresani,Torresani,Lorenzo,https://scholar.google.com/citations?user=ss8KR5gAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Full,20,Associate to Full,*,*
Soroush Vosoughi,Vosoughi,Soroush,https://scholar.google.com/citations?hl=en&user=45DAXkwAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
Peter Winkler,Winkler,Peter,,,,,,Dartmouth College  ,Full,20,,*,*
Xing-Dong Yang,Yang,Xing-Dong,https://scholar.google.com/citations?user=9WfDSNwAAAAJ&hl=en,,,,,Dartmouth College  ,Assistant,20,,*,*
Xia Zhou,Zhou,Xia,https://scholar.google.com/citations?user=t_DFZvgAAAAJ&hl=en&oi=ao,,,,,Dartmouth College  ,Associate,20,Assistant to Associate,*,*
Bo Zhu,Zhu,Bo,https://scholar.google.com/citations?hl=en&user=LM_HjvIAAAAJ,,,,,Dartmouth College  ,Assistant,20,New,*,*
"Adelakun, Olayele",Adelakun,Olayele,,,,,,DePaul University  ,Associate,21,,*,*
"Alizadeh, Vahid",Alizadeh,Vahid,https://scholar.google.com/citations?hl=en&user=d-eHN0oAAAAJ,,,,,DePaul University  ,Assistant,21,New,*,*
"Berthiaume, Andre",Berthiaume,Andre,,,,,,DePaul University  ,Associate,21,,*,*
"Besana, GianMario",Besana,GianMario,https://scholar.google.com/citations?hl=en&user=IPAFjd0AAAAJ,,,,,DePaul University  ,Full,21,,*,*
"Brewster, Greg",Brewster,Greg,,,,,,DePaul University  ,Associate,21,,*,*
"Brown, Eli",Brown,Eli,https://scholar.google.com/citations?user=8zeXprkAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Burke, Robin",Burke,Robin,https://scholar.google.com/citations?user=wRwI6d0AAAAJ&hl=en,,,,,DePaul University  ,Full,21,Not listed,-,-
"Cadilhac, Michaël",Cadilhac,Michaël,https://scholar.google.com/citations?hl=en&user=iIZ98agAAAAJ,,,,,DePaul University  ,Assistant,21,New,*,*
"Chu, I-Ping",Chu,I-Ping,,,,,,DePaul University  ,Associate,21,,*,*
"Chung, Anthony",Chung,Anthony,,,,,,DePaul University  ,Associate,21,,*,*
"Dettori, Lucia",Dettori,Lucia,,,,,,DePaul University  ,Associate,21,,*,*
"DiPierro, Massimo",DiPierro,Massimo,,,,,,DePaul University  ,Full,21,,*,*
"Elliott, Clark",Elliott,Clark,https://scholar.google.com/citations?hl=en&user=4XcxpO4AAAAJ,,,,,DePaul University  ,Associate,21,,*,*
"Fang, Xiaowen",Fang,Xiaowen,https://scholar.google.com/citations?user=QIaogkEAAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Furst, Jacob",Furst,Jacob,https://scholar.google.com/citations?hl=en&user=DtYNhI0AAAAJ,,,,,DePaul University  ,Full,21,,*,*
"Gemmell, Jonathan",Gemmell,Jonathan,https://scholar.google.com/citations?user=RIhZrvIAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Ghahramani, Fereshteh",Ghahramani,Fereshteh,https://scholar.google.com/citations?hl=en&user=56F82YAAAAAJ,,,,,DePaul University  ,Assistant,21,New,*,*
Isuru Godage,Godage,Isuru,https://scholar.google.com/citations?user=L5Ae_ygAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Hastings, Peter",Hastings,Peter,https://scholar.google.com/citations?user=r-U50JwAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,,*,*
"Huang, Zhen",Huang,Zhen,https://scholar.google.com/citations?hl=en&user=83eg2c8AAAAJ,,,,,DePaul University  ,Assistant,21,New,*,*
"Huzaifa, Muhammad Umer",Huzaifa,Muhammad Umer,,,,,,DePaul University  ,Assistant,21,New,*,*
"Jagadeesan, Radha",Jagadeesan,Radha,https://scholar.google.com/citations?user=zh0DETsAAAAJ&hl=en&oi=ao,,,,,DePaul University  ,Full,21,,*,*
"Jia, Xiaoping",Jia,Xiaoping,,,,,,DePaul University  ,Full,21,,*,*
"Jost, Steve",Jost,Steve,,,,,,DePaul University  ,Associate,21,,*,*
"Kanj, Iyad",Kanj,Iyad,https://scholar.google.com/citations?hl=en&user=_XAbCbUAAAAJ,,,,,DePaul University  ,Full,21,,*,*
"Kessentini, Wael",Kessentini,Wael,,,,,,DePaul University  ,Assistant,21,New,*,*
"Lulis, Evelyn",Lulis,Evelyn,,,,,,DePaul University  ,Associate,21,,*,*
"Lytinen, Steven",Lytinen,Steven,https://scholar.google.com/citations?hl=en&user=koQCaeAAAAAJ,,,,,DePaul University  ,Full,21,Not listed,-,-
"Malik, Tanu",Malik,Tanu,https://scholar.google.com/citations?user=ZvYwdsUAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Marrero, Wilfredo",Marrero,Wilfredo,,,,,,DePaul University  ,Associate,21,,*,*
"McDonald, John",McDonald,John,,,,,,DePaul University  ,Associate,21,,*,*
"Miller, Craig",Miller,Craig,https://scholar.google.com/citations?user=XSUQ4A8AAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Miller, David",Miller,David,,,,,,DePaul University  ,Full,21,,*,*
"Mittleman, Danny",Mittleman,Danny,https://scholar.google.com/citations?user=i2LCRtUAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,,*,*
"Mobasher, Bamshad",Mobasher,Bamshad,https://scholar.google.com/citations?user=VxhX6sAAAAAJ&hl=en&oi=ao,,,,,DePaul University  ,Full,21,,*,*
"Montague, Enid",Montague,Enid,https://scholar.google.com/citations?user=y6yxBkEAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,,*,*
"Nakayama, Makoto",Nakayama,Makoto,,,,,,DePaul University  ,Associate,21,,*,*
"Oteafy, Sharief",Oteafy,Sharief,https://scholar.google.com/citations?user=VWcJI1sAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Perkovic, Ljubomir",Perkovic,Ljubomir,https://scholar.google.com/citations?user=6dwowIYAAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Pitcher, Corin",Pitcher,Corin,https://scholar.google.com/citations?user=_9BDsmoAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,,*,*
"Putnam, Cynthia",Putnam,Cynthia,https://scholar.google.com/citations?hl=en&user=RiZTR24AAAAJ,,,,,DePaul University  ,Associate,21,,*,*
"Qahri Saremi, Hamed ",Qahri Saremi,Hamed,https://scholar.google.com/citations?user=po2au14AAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Ramaraj, Thiru",Ramaraj,Thiru,,,,,,DePaul University  ,Assistant,21,New,*,*
"Rasin, Alexander",Rasin,Alexander,https://scholar.google.com/citations?user=FGs9EMwAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,Assistant to Associate,*,*
"Riely, James",Riely,James,https://scholar.google.com/citations?user=P_76K3wAAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Rogers, John",Rogers,John,,,,,,DePaul University  ,Associate,21,,*,*
"Schaefer, Marcus",Schaefer,Marcus,https://scholar.google.com/citations?user=8wQ3nCkAAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Schwabe, Eric",Schwabe,Eric,https://scholar.google.com/citations?hl=en&user=XNKO1TatGm4C,,,,,DePaul University  ,Associate,21,,*,*
"Sedgwick, Eric",Sedgwick,Eric,https://scholar.google.com/citations?user=pKWxgxUAAAAJ&hl=en&oi=ao,,,,,DePaul University  ,Associate,21,,*,*
"Settimi Woods, Raffaella",Settimi Woods,Raffaella,,,,,,DePaul University  ,Full,21,Associate to Full,*,*
"Settle, Adam",Settle,Amber,https://scholar.google.com/citations?user=eB03rP4AAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Sharevski, Filipo",Sharevski,Filipo,https://scholar.google.com/citations?user=tihGPGUAAAAJ&hl=en,,,,,DePaul University  ,Assistant,21,,*,*
"Stan Raicu, Daniela",Raicu,Daniela Stan,https://scholar.google.com/citations?user=lFYeXsYAAAAJ&hl=en,,,,,DePaul University  ,Full,21,,*,*
"Steele, Adam",Steele,Adam,https://scholar.google.com/citations?user=9rcXbJwAAAAJ&hl=en,,,,,DePaul University  ,Associate,21,,*,*
"Steinbach, Theresa",Steinbach,Theresa,,,,,,DePaul University  ,Associate,21,"""Associate Dean"" Can't find rank anywhere",?,?
"Sutcliffe, Norma",Sutcliffe,Norma,,,,,,DePaul University  ,Associate,21,Retired,-,-
